AccessionNo,Department,Title,Author,ISBN
U00001,Department of Computer Science,Handbook of the convention on biological diversity : :,Secretariat of the convention on biological diversity.,9292250116
U00002,Department of Biology,Awastis Societies Registration Act /,"Singh, Awasthi.",9798185902165
U00003,Department of Business,Britannica Ready Reference Encyclopedia :,"Encyclopaedia Britannica, inc.",8181310985
U00004,Department of Computer Science,C++  for Beginners/,PuneetNayyar.,9788172362287
U00005,Department of Biology,Compendium of indian medicinal plants:,"Rastogi, Ram P.",8185042055
U00006,Department of Business,Compendium of indian medicinal Plants:,"  Rastogi, Ram P. .",818504208X
U00007,Department of Computer Science,Compendium of Indian medicinal Plants  :,"Rastogi, Ram P.                 .",818504211X
U00008,Department of Biology,Compendium of Indian medicinal Plants  :,"Rastogi, Ram P.    .",8185042136
U00009,Department of Business,Compendium of Indian Medicinal Plants  :," Rastogi, Ram P. .",8185042144
U00010,Department of Computer Science,Compendium of indian medicinal plants:,"Rastogi, Ram P.",8185042159
U00011,Department of Biology,Current Trends in Leishmania Research/,"Bhaduri, A .N.",8172360746
U00012,Department of Business,Data analysis and visualization in genomics and proteomics /,"Azuaje, Francisco.",97804700943396
U00013,Department of Computer Science,"Database for Disease Burden Estimation-Malarial,Filaria,Dengue and Diarrhoeal Disease/",Indian council of medical research.,
U00014,Department of Biology,Discovering Genomics Proteomics and Bioinformatics,Campbell A. Malcolm  .,0-805382194
U00015,Department of Business,Ecology: :,"Odum, Eugene P.",81 204 1474 8
U00016,Department of Computer Science,Environmental Biotechnology,Hans Joachim Jordening.,8131201945
U00017,Department of Biology,Environmental Biotechnology,Hemant Rewat.,978 81 89473 22 8
U00018,Department of Business,Essential Mathematical Biology,"Britton, Nicholas F",185233536x
U00019,Department of Computer Science,Essentials of Glycobiology/ edited by Ajit Varki ... [et al.],,0-87969-681-8
U00020,Department of Biology,Fermentation Biotechnology : Industrial Perspectives /,Subhash Chand.,
U00021,Department of Business,"Foreign Trade : Policy Procedures and Documentation Exports, Imports, Foreign Exchange Management",Mahajan M. I.,81-8159-141-0
U00022,Department of Computer Science,Frontier Science and Cutting Edge Technologies : The Road Ahea,NISCAIR.,81 7236 248 x
U00023,Department of Biology,"Fundamentals of molecular evolution / Dan Graur, Wen -Hsiung Li","Graur , Dan",
U00024,Department of Business,Genomes 3/,"Brown, T A.",0 8153 4138 5
U00024,Department of Computer Science,Genomes 3/,"Brown, T A.",0 8153 4138 5
U00025,Department of Biology,Gujarat : A Panorama of Progress/,Gov. of Gujarat.,
U00026,Department of Business,Handbook of Agriculture/,Aruna T Kumar.,81-7164-050-8
U00027,Department of Computer Science,Indian Horticulture Database 2010,,
U00028,Department of Biology,Instant notes Ecology,"Mackenzie, A. (Aulay)",1-85996-257-2
U00029,Department of Business,International Travel and Health ,WHO.,9789241580397
U00030,Department of Computer Science,Introduction to Macromolecular Crystallography ,"Mcpherson, Alexander.",9780470185902
U00031,Department of Biology,Introductory  Ecology ,"Cotgreave, Peter.  .", 9780632042272
U00032,Department of Business,Java Swing,Loy Marc.,9788173665684
U00033,Department of Computer Science,Labskills in Biology for class XII ,"Rastogi, Veer Bala",
U00034,Department of Biology,"Lehninger principles of biochemistry / David L. Nelson, Michale M. Cox.","Nelson, David L.  ",
U00035,Department of Business,Leishmania : After the Genome ,"Myler, Peter J.",9781904455288
U00036,Department of Computer Science,Medicinal and Pharmaceutical Chemistry,"Kappor , V.K.",8185731004
U00037,Department of Biology,Microbial Ecology; Fundametals and applications 4th ed.,"Atlas,Ronald",978 81 317 1384 6
U00038,Department of Business,Instant Notes Microbiology,"Nicklin,J.",9780415390880
U00039,Department of Computer Science,"Molecular Biology , 2nd edition ,part  1",,
U00040,Department of Biology,"Molecular Biology , 2nd edition ,part 2",,
U00041,Department of Business,Nature at Work : Ongoing saga of evolution,Sharma Vinod P.,978818489917
U00042,Department of Computer Science,Oracle database 10g PL/SQL Programming,Urman Scott.,9780070597792
U00043,Department of Biology,Outline of Crystallography for Biologists,David Blow.,9780198510512
U00044,Department of Business,Oxford Dictionary And Thesaurus –III/,Elliot Julia.,9780195676983
U00045,Department of Computer Science,Oxford Dictionary of Quotations And Proverbs-II,,
U00046,Department of Biology,Oxford Language Reference-I/,Law Jonathan.,9780195676983
U00047,Department of Business,PERL Black Book ,Holzner Steven.,
U00048,Department of Computer Science,Plant Propagation by Tissue culture Vol.1.,George  Edwin F.,9781402050046
U00049,Department of Biology,Plant Tissue Culture: Theory and Techniques,"Kumar, Shailesh  .",9788172335939
U00049,Department of Business,Plant Tissue Culture: Theory and Techniques,"Kumar, Shailesh  .",9788172335939
U00050,Department of Computer Science,Practical Approach to Deeds And Documents /,Bhandari M C.,9798185902370
U00051,Department of Biology,Radiation processing technology applications vol 1 ,,
U00052,Department of Business,Radiation processing technology applications vol 2,,
U00053,Department of Computer Science,Red Hat : The complete referance Entreprise Linux And Fedora editio,Peterson Richard.,9780070587090
U00054,Department of Biology,Red Hat Linux Networking And System Administration  ,Collings Terry.,9788126506552
U00055,Department of Business,Statistical Methods in Bioinformatics : An Introduction,Ewens Warren J.,9788181285027
U00056,Department of Computer Science,Statistical Methods in Bioinformatics,Evens Warren J.,9788181285027
